Date,Open,High,Low,Close,Volume,Adj Close
2011-01-17,173.45,179.95,172.55,175.70,99875800,157.11
2011-01-10,176.60,177.50,169.50,171.95,91195300,153.76
2011-01-04,170.25,178.65,168.10,174.75,105921400,156.26
2010-12-27,172.10,172.10,165.80,165.80,28900200,148.26
2010-12-20,170.00,172.45,168.80,172.10,48371000,153.89
2010-12-13,165.90,170.25,165.20,170.05,97798800,152.06
2010-12-06,165.60,166.60,163.40,165.35,88849400,147.86
2010-11-29,165.45,166.50,158.95,164.05,130940700,146.69
2010-11-22,169.20,169.20,162.30,165.30,84264600,147.81
2010-11-15,172.80,175.00,166.20,167.75,80384500,150.00
2010-11-08,174.10,179.90,170.05,173.95,116144000,152.95
2010-11-01,171.10,175.00,168.65,173.90,88078600,152.90
2010-10-25,167.85,172.65,165.20,169.85,105539000,149.34
2010-10-18,166.95,169.10,165.95,167.00,85662900,146.83
2010-10-11,160.80,167.85,159.95,167.00,98335000,146.83
2010-10-04,159.85,163.25,158.50,161.20,81395600,141.74
2010-09-27,161.00,161.50,156.95,158.85,103159400,139.67
2010-09-20,161.90,164.95,159.85,160.95,99422100,141.52
2010-09-13,160.90,162.00,158.05,160.30,88682700,140.94
2010-09-06,159.65,160.95,157.60,160.25,80539100,140.90
2010-08-30,153.60,160.00,151.05,159.00,97364600,139.80
2010-08-23,151.10,154.00,148.05,153.60,84380600,135.05
2010-08-16,152.75,154.45,149.20,150.35,71524300,132.20
2010-08-09,154.50,155.50,150.05,153.25,77167800,134.75
2010-08-02,149.45,153.35,147.35,152.25,87754500,133.87
2010-07-26,152.00,152.55,148.00,148.75,84129600,130.79
2010-07-19,143.85,152.85,141.90,150.55,101665000,132.37
2010-07-12,143.15,147.85,141.70,144.35,69624200,126.92
2010-07-05,136.90,144.00,136.30,143.50,72995000,126.17
2010-06-28,144.35,146.00,135.75,136.50,119882800,120.02
2010-06-21,144.15,145.80,140.50,144.05,96822600,126.66
2010-06-14,142.00,143.90,139.80,143.00,117962000,125.73
2010-06-07,137.10,141.20,133.55,140.00,85226300,123.10
2010-05-31,138.15,141.85,133.50,138.65,93254500,121.91
2010-05-24,131.35,140.00,126.75,138.15,142705000,116.51
2010-05-17,134.00,139.55,126.50,130.00,195485200,109.64
2010-05-10,138.50,139.60,134.15,134.50,141224000,113.43
2010-05-03,145.35,147.75,131.55,132.90,123827500,112.09
2010-04-26,149.85,149.90,140.05,145.35,137109500,122.59
2010-04-19,150.90,151.75,147.65,148.40,88987200,125.16
2010-04-12,149.85,153.05,148.00,152.00,85417300,128.19
2010-04-05,151.70,151.70,146.20,149.10,76155700,125.75
2010-03-29,148.50,153.80,148.00,151.70,113272200,127.94
2010-03-22,148.40,149.15,146.10,146.70,91133700,123.72
2010-03-15,151.95,152.70,145.90,148.20,113475000,124.99
2010-03-08,147.65,152.05,147.20,151.60,87665500,127.86
2010-03-01,143.00,148.85,141.75,147.65,108472800,124.53
2010-02-22,142.50,143.55,139.90,141.45,105661400,119.30
2010-02-15,139.80,143.00,138.35,142.40,93555400,120.10
2010-02-08,139.50,141.00,136.50,139.00,120039000,117.23
2010-02-01,134.05,141.95,133.70,139.20,164967400,117.40
2010-01-25,134.20,136.25,132.10,134.55,135993300,113.48
2010-01-18,133.95,138.95,133.55,135.50,124127700,114.28
2010-01-11,137.70,139.20,134.60,134.70,147428400,113.60
2010-01-04,143.60,144.40,136.60,137.00,105669600,115.54
2009-12-28,142.20,144.65,142.20,143.70,18935500,121.19
2009-12-21,139.50,143.50,139.35,142.20,59738500,119.93
2009-12-14,141.65,142.90,139.90,140.00,108461000,118.07
2009-12-07,142.40,143.75,139.10,141.55,107871400,119.38
2009-11-30,137.45,144.00,136.50,142.40,140763600,120.10
2009-11-23,135.50,139.90,134.70,138.40,129946100,116.72
2009-11-16,138.00,139.75,133.05,134.60,118225300,113.52
2009-11-09,137.95,138.55,132.70,137.10,140837100,113.41
2009-11-02,134.15,139.10,133.60,135.80,107310900,112.34
2009-10-26,137.50,139.60,134.05,134.55,129888600,111.30
2009-10-19,133.65,142.25,133.20,137.50,128248000,113.74
2009-10-12,134.00,137.20,132.80,133.25,113591700,110.23
2009-10-05,138.30,140.80,131.85,132.45,140655900,109.57
2009-09-28,141.60,144.45,122.25,138.30,87137400,114.41
2009-09-21,140.00,143.90,138.30,141.80,116780900,117.30
2009-09-14,137.30,141.29,130.00,140.40,128698600,116.14
2009-09-07,134.60,140.51,125.00,137.50,129035300,113.74
2009-08-31,132.80,230.56,129.59,133.25,74267900,110.23
2009-08-24,132.45,143.35,126.67,132.80,97006300,109.86
2009-08-17,125.80,132.60,124.85,131.50,77837800,108.78
2009-08-10,128.70,131.25,117.00,126.40,98897000,104.56
2009-08-03,123.10,128.50,122.25,127.95,116915900,105.84
2009-07-27,121.45,123.30,117.30,122.70,133562300,101.50
2009-07-20,113.75,122.25,110.00,120.25,130598000,99.47
2009-07-13,113.60,116.07,110.86,113.15,129483800,93.60
2009-07-06,112.80,116.75,109.30,112.25,116599600,92.86
2009-06-29,116.35,122.17,113.55,113.70,82560800,94.06
2009-06-22,119.95,136.03,115.05,116.20,69608200,96.12
2009-06-15,113.45,123.60,112.75,119.95,236334800,99.23
2009-06-08,113.05,119.10,111.40,114.70,125069400,94.88
2009-06-01,117.20,119.25,111.20,112.60,154425900,93.15
2009-05-25,115.50,119.40,111.66,116.00,118288300,91.76
2009-05-18,124.10,129.00,113.20,115.50,263351600,91.36
2009-05-11,120.00,128.22,119.30,123.20,168601100,97.45
2009-05-04,125.70,129.12,119.45,120.00,157271300,94.92
2009-04-27,121.85,127.10,100.00,125.70,87025100,99.43
2009-04-20,130.00,133.11,118.80,122.50,186386000,96.90
2009-04-13,122.85,130.50,119.25,129.65,135819300,102.56
2009-04-06,128.00,128.45,121.20,122.85,84671500,97.18
2009-03-30,116.90,132.00,115.50,125.10,176150100,98.96
2009-03-23,124.50,124.50,114.04,116.30,167392500,92.00
2009-03-16,119.00,126.65,117.70,119.95,184271200,94.88
2009-03-09,117.75,120.90,112.26,115.90,185908200,91.68
2009-03-02,122.00,188.95,116.00,117.95,158793200,93.30
