"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"SLNOW","Soleno Therapeutics, Inc.","0.149","n/a","2014","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","https://www.nasdaq.com/symbol/slnow",
"SLGL","Sol-Gel Technologies Ltd.","9.13","$173.01M","2018","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/slgl",
"SLDB","Solid Biosciences Inc.","5.25","$185.88M","2018","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/sldb",
"SNGX","Soligenix, Inc.","0.71","$13.1M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/sngx",
"SNGXW","Soligenix, Inc.","0.075","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/sngxw",
"SOLY","Soliton, Inc.","16.2","$237.79M","2019","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/soly",
"SONM","Sonim Technologies, Inc.","16.13","$314.69M","2019","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/sonm",
"SNOA","Sonoma Pharmaceuticals, Inc.","0.7799","$9.34M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/snoa",
"SNOAW","Sonoma Pharmaceuticals, Inc.","0.0059","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/snoaw",
"SONO","Sonos, Inc.","10.74","$1.08B","2018","Consumer Non-Durables","Consumer Electronics/Appliances","https://www.nasdaq.com/symbol/sono",
"SPHS","Sophiris Bio, Inc.","0.7721","$23.33M","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/sphs",
"SORL","SORL Auto Parts, Inc.","3.28","$63.32M","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/sorl",
"SRNE","Sorrento Therapeutics, Inc.","2.95","$361.52M","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","https://www.nasdaq.com/symbol/srne",
"SOHO","Sotherly Hotels Inc.","7.28","$103.54M","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/soho",
"SOHOB","Sotherly Hotels Inc.","25.8","$41.54M","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/sohob",
