Hammerson PLC,HMSO.L,LSE,United Kingdom
HMV Group PLC,HMV.L,LSE,United Kingdom
Huntsworth PLC,HNT.L,LSE,United Kingdom
Hochschild Mining PLC,HOC.L,LSE,United Kingdom
Heritage Oil PLC,HOIL.L,LSE,United Kingdom
Home Retail Group PLC,HOME.L,LSE,United Kingdom
Honeywell International, Inc.,HON.L,LSE,United Kingdom
Hogg Robinson Group PLC,HRG.L,LSE,United Kingdom
Harmony Gold Mining Co., Ltd.,HRM.L,LSE,United Kingdom
Hornby PLC,HRN.L,LSE,United Kingdom
H.R.Owen PLC,HRO.L,LSE,United Kingdom
HSBC Holdings PLC,HSBA.L,LSE,United Kingdom
Hansard Global PLC,HSD.L,LSE,United Kingdom
Hansteen Holdings PLC,HSTN.L,LSE,United Kingdom
Homeserve PLC,HSV.L,LSE,United Kingdom
Hiscox Ltd,HSX.L,LSE,United Kingdom
Hunting PLC,HTG.L,LSE,United Kingdom
Harvey Nash Group PLC,HVN.L,LSE,United Kingdom
Heavitree Brewery PLC,HVT.L,LSE,United Kingdom
Highway Capital PLC,HWC.L,LSE,United Kingdom
Hyder Consulting PLC,HYC.L,LSE,United Kingdom
Haynes Publishing Group PLC,HYNS.L,LSE,United Kingdom
APR Energy PLC,HZN.L,LSE,United Kingdom
ICAP PLC,IAP.L,LSE,United Kingdom
IBM,IBM.L,LSE,United Kingdom
Irish Continental Group PLC,ICGC.L,LSE,United Kingdom
Intermediate Capital Group PLC,ICP.L,LSE,United Kingdom
Invista European Real Est,IERE.L,LSE,United Kingdom
Invista European Real Est,IERP.L,LSE,United Kingdom
International Ferro Metals Ltd,IFL.L,LSE,United Kingdom
IFG Group PLC,IFP.L,LSE,United Kingdom
IG Group Holdings PLC,IGG.L,LSE,United Kingdom
InterContinental Hotels,IHG.L,LSE,United Kingdom
3i Group PLC,III.L,LSE,United Kingdom
Independent IT,IIT.L,LSE,United Kingdom
Inch Kenneth Kajang Rubber PLC,IKK.L,LSE,United Kingdom
Imagination Technologies,IMG.L,LSE,United Kingdom
IMI PLC,IMI.L,LSE,United Kingdom
Imperial Tobacco Group PLC,IMT.L,LSE,United Kingdom
Inchcape PLC,INCH.L,LSE,United Kingdom
Informa PLC,INF.L,LSE,United Kingdom
Independent News & Media PLC,INM.L,LSE,United Kingdom
Investec PLC,INVP.L,LSE,United Kingdom
Intl Personal Finance,IPF.L,LSE,United Kingdom
IP Group PLC,IPO.L,LSE,United Kingdom
IRF European Finance,IRF.L,LSE,United Kingdom
